"Timestamp","Age","Shoe Size","How long have you been running? (number of years)","How many pairs of running shoes do you currently own?","How many pairs of running shoes are in your current rotation?","What brands are represented in your collection and how many pairs do you have for those brands? [Adidas]","What brands are represented in your collection and how many pairs do you have for those brands? [Altra]","What brands are represented in your collection and how many pairs do you have for those brands? [Asics]","What brands are represented in your collection and how many pairs do you have for those brands? [Brooks]","What brands are represented in your collection and how many pairs do you have for those brands? [Hoka]","What brands are represented in your collection and how many pairs do you have for those brands? [Mizuno]","What brands are represented in your collection and how many pairs do you have for those brands? [New Balance]","What brands are represented in your collection and how many pairs do you have for those brands? [Newton]","What brands are represented in your collection and how many pairs do you have for those brands? [Nike]","What brands are represented in your collection and how many pairs do you have for those brands? [On]","What brands are represented in your collection and how many pairs do you have for those brands? [Salming]","What brands are represented in your collection and how many pairs do you have for those brands? [Saucony]","What brands are represented in your collection and how many pairs do you have for those brands? [Skechers]","What brands are represented in your collection and how many pairs do you have for those brands? [Other]","Do you participate in races?","If yes, what distance do you race most often?","On average, how many miles per week do you run?"
"2019/04/17 3:11:18 PM MDT","40","8 W","3","6 ","3","","","","","","5 pairs","","","","","","","","","Yes","10k","32"
"2019/04/17 3:12:42 PM MDT","41","11 M","27","22","9","","4 pairs","","","","1 pair","","5 pairs","","","6 pairs","","3 pairs","3 pairs","Yes","marathon","55"
"2019/04/17 3:15:57 PM MDT","38","12 M","8","11","3","","","1 pair","1 pair","","1 pair","2 pairs","","2 pairs","","","3 pairs","","1 pair","Yes","Marathon","40"
"2019/04/17 3:16:35 PM MDT","43","7.5 W","18","11","9","","1 pair","","3 pairs","3 pairs","","","","1 pair","","","","2 pairs","1 pair","Yes","50k","50"
"2019/04/17 3:20:37 PM MDT","35","7.5 W","20","15","4","2 pairs","2 pairs","3 pairs","2 pairs","","3 pairs","3 pairs","","","","","","","","Yes","12km","20"
"2019/04/17 3:24:51 PM MDT","16","9.5 M","3","5","1","1 pair","","","","2 pairs","","","","1 pair","","","1 pair","","","Yes","5k ","30"
"2019/04/17 3:25:12 PM MDT","34","10 M","30","15","3","2 pairs","","","2 pairs","1 pair","","4 pairs","","2 pairs","3 pairs","","1 pair","","","Yes","5k","25"
"2019/04/17 3:26:58 PM MDT","34","9.5 M","8","6","6","","","","","","","3 pairs","","1 pair","","","1 pair","","1 pair","Yes","Half","30"
"2019/04/17 3:29:44 PM MDT","34","8 W","11","6","4","1 pair","1 pair","","","","","1 pair","","1 pair","","","","1 pair","","Yes","half marathon","45"
"2019/04/17 3:30:46 PM MDT","37","9.5 M","2","8","7","","4 pairs","","","2 pairs","","","","","","","","","2 pairs","Yes","Ultra distance of varying length","60"
"2019/04/17 3:31:51 PM MDT","34","","21","13","13","","","","","","","1 pair","","5 pairs","","","1 pair","","6 pairs","Yes","10K","40"
"2019/04/17 3:32:48 PM MDT","15","8.5 W","3","13","13","1 pair","","","","","","3 pairs","","6 pairs","","","1 pair","1 pair","1 pair","Yes","1500m 3000m 5km 10km","45"
"2019/04/17 3:38:10 PM MDT","36","10.5 M","21","3","3","1 pair","","","","","","1 pair","","1 pair","","","","","","Yes","10k","20"
"2019/04/17 3:44:31 PM MDT","51","11 M","12","12","3","1 pair","","","","2 pairs","","1 pair","1 pair","5 pairs","","","","2 pairs","","Yes","half-marathon","40"
"2019/04/17 3:45:56 PM MDT","41","11.5 M","2","17","10","2 pairs","","2 pairs","1 pair","1 pair","1 pair","2 pairs","","7 pairs","","","","","1 pair","No","","25"
"2019/04/17 3:51:36 PM MDT","52","13 M","7","11","4","","1 pair","3 pairs","","2 pairs","","2 pairs","","","","","1 pair","1 pair","1 pair","Yes","Full marathon","40"
"2019/04/17 3:54:18 PM MDT","49","10.5 M","30","5","4","","","","1 pair","1 pair","","1 pair","","1 pair","","","1 pair","","","Yes","5k","25"
"2019/04/17 4:08:01 PM MDT","","9.5 M","32","8","4","2 pairs","","1 pair","","","","","","1 pair","","","","2 pairs","2 pairs","Yes","5","7"
"2019/04/17 4:14:31 PM MDT","36","8.5 M","30","4","2","3 pairs","","","","","","","","1 pair","","","","","","Yes","Marathon","50"
"2019/04/17 4:18:17 PM MDT","26","9.5 M","10","6","6","","","","","","","","","6 pairs","","","","","","Yes","5000m","40"
"2019/04/17 4:22:29 PM MDT","40","10 M","1","12","7","1 pair","","1 pair","","","1 pair","","","5 pairs","","","","","4 pairs","Yes","10k","15"
"2019/04/17 4:23:32 PM MDT","38","10.5 M","8","50","28","5 pairs","3 pairs","1 pair","6 pairs","5 pairs","","7 pairs","1 pair","6 pairs","1 pair","","4 pairs","5 pairs","6 pairs","Yes","Marathon","45"
"2019/04/17 4:29:40 PM MDT","28","9.5 W","16","27","2","","","","9 pairs","","","","","","","","","","","Yes","13.1","15"
"2019/04/17 4:31:49 PM MDT","68","12 M","42","1","1","","","","","","","","","1 pair","","","","","","Yes","12k","25"
"2019/04/17 4:34:21 PM MDT","17","11.5 M","5","40","6","","","","","1 pair","","","","5 pairs","","","","","","Yes","mile ","55"
